accession,symbol,description,log2FC,pval,padj
Q9H910,JPT2,Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1,-0.190251900682046,0.0002265828413904668,0.0010778170843696161
Q7Z4Q2,HEATR3,HEAT repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=HEATR3 PE=1 SV=2,-0.16230983641993468,0.00022769264614029607,0.0010816209463433836
P56282,POLE2,DNA polymerase epsilon subunit 2 OS=Homo sapiens OX=9606 GN=POLE2 PE=1 SV=2,-0.3326570798331261,0.00022770967291439655,0.0010816209463433836
P62081,RPS7,40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1,-0.2044121023428458,0.00022822800945425164,0.0010833048086945527
Q9UJU6,DBNL,Drebrin-like protein OS=Homo sapiens OX=9606 GN=DBNL PE=1 SV=1,0.12699675004783062,0.00022959617264154173,0.0010890171402481161
Q9UL63,MKLN1,Muskelin OS=Homo sapiens OX=9606 GN=MKLN1 PE=1 SV=2,-0.24139806542424558,0.0002304482365364191,0.001092275082422081
Q12974,PTP4A2,Protein tyrosine phosphatase type IVA 2 OS=Homo sapiens OX=9606 GN=PTP4A2 PE=1 SV=1,0.24836412662172097,0.00023071409099643364,0.00109275184073669
Q14699,RFTN1,Raftlin OS=Homo sapiens OX=9606 GN=RFTN1 PE=1 SV=4,0.34594944713582576,0.00023125444079590828,0.0010930691410940593
Q9NRL3,STRN4,Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2,0.21289045447346933,0.000231294573714887,0.0010930691410940593
P63173,RPL38,60S ribosomal protein L38 OS=Homo sapiens OX=9606 GN=RPL38 PE=1 SV=2,-0.177012968543246,0.00023146313771610363,0.0010930691410940593
P18621,RPL17,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,-0.20777710713081277,0.0002315635850437127,0.0010930691410940593
O43815,STRN,Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4,0.07903107012487798,0.00023160766283617318,0.0010930691410940593
P55786,NPEPPS,Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2,0.057056968822556176,0.00023190275504132477,0.001093681181407446
Q00688,FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1,0.1649268257265657,0.00023259069132736986,0.0010961437284793796
Q6IN85,PPP4R3A,Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens OX=9606 GN=PPP4R3A PE=1 SV=1,0.05869212696339399,0.00023295235489440878,0.0010970662183488824
Q8TD19,NEK9,Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,0.15829731715523065,0.0002338947226183585,0.0011007202177598478
P51116,FXR2,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,-0.24929466712873993,0.00023460861379753564,0.0011029379272740622
Q9NQ55,PPAN,Suppressor of SWI4 1 homolog OS=Homo sapiens OX=9606 GN=PPAN PE=2 SV=1,-0.32335714392151105,0.00023469958615768383,0.0011029379272740622
P60842,EIF4A1,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,-0.29157548871564787,0.00023569257676107653,0.00110615717242057
O75528,TADA3,Transcriptional adapter 3 OS=Homo sapiens OX=9606 GN=TADA3 PE=1 SV=1,-0.2164122334728799,0.00023571921596197564,0.00110615717242057
Q9Y4U1,MMACHC,Methylmalonic aciduria and homocystinuria type C protein OS=Homo sapiens OX=9606 GN=MMACHC PE=1 SV=3,-0.11509728562502097,0.00023592743286449707,0.0011063490681560671
Q15208,STK38,Serine/threonine-protein kinase 38 OS=Homo sapiens OX=9606 GN=STK38 PE=1 SV=1,0.25693542038430195,0.00023631658423132476,0.0011073885577161725
Q13813,SPTAN1,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",-0.04296557842569548,0.00023691396906277265,0.0011091463045367798
Q9BW61,DDA1,DET1- and DDB1-associated protein 1 OS=Homo sapiens OX=9606 GN=DDA1 PE=1 SV=1,-0.26658818222348807,0.00023702718214011948,0.0011091463045367798
Q03252,LMNB2,Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4,0.07082017717784783,0.00023925942330964604,0.001118800075617666
P62341,SELENOT,Thioredoxin reductase-like selenoprotein T OS=Homo sapiens OX=9606 GN=SELENOT PE=1 SV=2,0.1996370859118608,0.00024051986582877347,0.0011238991893002474
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3,0.08999263297673288,0.00024122197003765427,0.0011263819266227996
Q13233,MAP3K1,Mitogen-activated protein kinase kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP3K1 PE=1 SV=4,-0.2865698312524231,0.0002413918920182255,0.0011263819266227996
Q8TCT7,SPPL2B,Signal peptide peptidase-like 2B OS=Homo sapiens OX=9606 GN=SPPL2B PE=1 SV=2,0.20639780467658997,0.0002430339182022915,0.0011332441940434073
Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3",-0.15721531548351964,0.00024348820819969412,0.0011345623908501604
Q7Z3K3,POGZ,Pogo transposable element with ZNF domain OS=Homo sapiens OX=9606 GN=POGZ PE=1 SV=2,0.1097949600888608,0.0002456630059444414,0.0011438252822781854
Q712K3,UBE2R2,Ubiquitin-conjugating enzyme E2 R2 OS=Homo sapiens OX=9606 GN=UBE2R2 PE=1 SV=1,-0.13355454342064554,0.00024582210013873284,0.0011438252822781854
Q15149,PLEC,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,-0.1213116841552715,0.0002465455829573436,0.00114504707298326
P61326,MAGOH,Protein mago nashi homolog OS=Homo sapiens OX=9606 GN=MAGOH PE=1 SV=1,-0.16394546075791094,0.00024660919327764824,0.00114504707298326
Q7L5Y9,MAEA,E3 ubiquitin-protein transferase MAEA OS=Homo sapiens OX=9606 GN=MAEA PE=1 SV=1,-0.2299678660175557,0.00024663782710661737,0.00114504707298326
Q8IV53,DENND1C,DENN domain-containing protein 1C OS=Homo sapiens OX=9606 GN=DENND1C PE=1 SV=1,0.15706685464246684,0.0002470431188896442,0.00114504707298326
P46778,RPL21,60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2,-0.1567144427515279,0.00024706802390539543,0.00114504707298326
P61019,RAB2A,Ras-related protein Rab-2A OS=Homo sapiens OX=9606 GN=RAB2A PE=1 SV=1,0.10751365871938257,0.00024712374064535876,0.00114504707298326
Q5T280,SPOUT1,Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3,-0.3056548106087937,0.00024811030226966677,0.0011483466153323918
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens OX=9606 GN=AHSA1 PE=1 SV=1,-0.2399941149716338,0.00024844117536699487,0.0011483466153323918
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2 OS=Homo sapiens OX=9606 GN=NECAP2 PE=1 SV=1,0.13596282602878296,0.0002485127934167661,0.0011483466153323918
Q66K14,TBC1D9B,TBC1 domain family member 9B OS=Homo sapiens OX=9606 GN=TBC1D9B PE=1 SV=3,0.12789947721488976,0.000248530551503426,0.0011483466153323918
O43502,RAD51C,DNA repair protein RAD51 homolog 3 OS=Homo sapiens OX=9606 GN=RAD51C PE=1 SV=1,0.222711384650899,0.00025084284505428163,0.0011582212929461663
Q53FP2,TMEM35A,Transmembrane protein 35A OS=Homo sapiens OX=9606 GN=TMEM35A PE=1 SV=2,0.34104450218809823,0.00025117227394488086,0.0011589330602397433
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=2,0.09366475813106279,0.0002515454284780357,0.0011598454484635788
O15155,BET1,BET1 homolog OS=Homo sapiens OX=9606 GN=BET1 PE=1 SV=1,0.17167775179421074,0.00025297865446360484,0.0011656410197305612
Q06265,EXOSC9,Exosome complex component RRP45 OS=Homo sapiens OX=9606 GN=EXOSC9 PE=1 SV=3,-0.23697246519723225,0.000254208129046132,0.0011702517039165904
A8MSI8,LYRM9,LYR motif-containing protein 9 OS=Homo sapiens OX=9606 GN=LYRM9 PE=3 SV=2,0.36942778415567634,0.0002543332877386782,0.0011702517039165904
O76080,ZFAND5,AN1-type zinc finger protein 5 OS=Homo sapiens OX=9606 GN=ZFAND5 PE=1 SV=1,-0.4471763172011136,0.0002551134050920187,0.0011730249196581556
P31948,STIP1,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,-0.10306580527076914,0.0002565544535645521,0.001178831165370965
Q96T58,SPEN,Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1,-0.08688826758159784,0.00025701901998521155,0.001179551667117041
O14562,UBFD1,Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens OX=9606 GN=UBFD1 PE=1 SV=2,0.13531790597090365,0.0002570680508644368,0.001179551667117041
Q96CD2,PPCDC,Phosphopantothenoylcysteine decarboxylase OS=Homo sapiens OX=9606 GN=PPCDC PE=1 SV=2,0.2189558446811205,0.000257816017639731,0.0011821633208279484
Q9UBR2,CTSZ,Cathepsin Z OS=Homo sapiens OX=9606 GN=CTSZ PE=1 SV=1,0.19201517000145166,0.000258173841176214,0.0011829836714186606
Q9BS16,CENPK,Centromere protein K OS=Homo sapiens OX=9606 GN=CENPK PE=1 SV=1,-0.25821997748942804,0.00026070860315675876,0.001193770972349369
Q7Z3Z0,KRT25,"Keratin, type I cytoskeletal 25 OS=Homo sapiens OX=9606 GN=KRT25 PE=1 SV=1",0.33443769709613047,0.0002631946818690906,0.0012043205789054859
Q01151,CD83,CD83 antigen OS=Homo sapiens OX=9606 GN=CD83 PE=1 SV=1,-0.14101024617047608,0.0002633927530827026,0.0012043934186603247
Q9UIA9,XPO7,Exportin-7 OS=Homo sapiens OX=9606 GN=XPO7 PE=1 SV=3,0.11333822378140601,0.0002642457312022761,0.0012068542780415714
Q9NRY5,FAM114A2,Protein FAM114A2 OS=Homo sapiens OX=9606 GN=FAM114A2 PE=1 SV=4,0.24858318086147713,0.00026429597619543184,0.0012068542780415714
P51808,DYNLT3,Dynein light chain Tctex-type 3 OS=Homo sapiens OX=9606 GN=DYNLT3 PE=1 SV=1,0.2255457127540419,0.0002668253397935091,0.0012175632482502982
Q9H307,PNN,Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5,-0.10307709825068434,0.0002680739438053335,0.0012205406121993374
Q86Y39,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 OS=Homo sapiens OX=9606 GN=NDUFA11 PE=1 SV=3,0.34445006748678275,0.0002681447514091781,0.0012205406121993374
Q96EA4,SPDL1,Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=2,-0.8966605994276486,0.0002685465385408105,0.0012205406121993374
Q9BW71,HIRIP3,HIRA-interacting protein 3 OS=Homo sapiens OX=9606 GN=HIRIP3 PE=1 SV=3,-0.17472200201021204,0.00026855905478425306,0.0012205406121993374
Q06609,RAD51,DNA repair protein RAD51 homolog 1 OS=Homo sapiens OX=9606 GN=RAD51 PE=1 SV=1,-0.45602835695477406,0.00026855982104213334,0.0012205406121993374
Q00535,CDK5,Cyclin-dependent-like kinase 5 OS=Homo sapiens OX=9606 GN=CDK5 PE=1 SV=3,0.08901651173629932,0.0002685858889757619,0.0012205406121993374
P61586,RHOA,Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1,0.265324493933202,0.00026876998356960605,0.0012205406121993374
Q96K19,RNF170,E3 ubiquitin-protein ligase RNF170 OS=Homo sapiens OX=9606 GN=RNF170 PE=1 SV=2,0.11919742964563262,0.0002708616127233565,0.001228619670134095
Q8WW59,SPRYD4,SPRY domain-containing protein 4 OS=Homo sapiens OX=9606 GN=SPRYD4 PE=1 SV=2,0.2559022855750574,0.00027092067136350734,0.001228619670134095
Q8NBI6,XXYLT1,Xyloside xylosyltransferase 1 OS=Homo sapiens OX=9606 GN=XXYLT1 PE=1 SV=1,0.11891970182613351,0.0002712480256945908,0.0012291274478948369
Q9NSE4,IARS2,"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2",0.1191057048209383,0.0002714044273935968,0.0012291274478948369
P18124,RPL7,60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,-0.1595096398195821,0.0002726502075207275,0.0012337865304722813
Q9NQW7,XPNPEP1,Xaa-Pro aminopeptidase 1 OS=Homo sapiens OX=9606 GN=XPNPEP1 PE=1 SV=3,0.2230612181413174,0.0002728063986011003,0.0012337865304722813
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1,0.22517589582581277,0.000273794106359584,0.0012374071300407174
Q9NWH9,SLTM,SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2,0.08307497959503163,0.00027465467910821415,0.0012404485917100491
Q5RKV6,EXOSC6,Exosome complex component MTR3 OS=Homo sapiens OX=9606 GN=EXOSC6 PE=1 SV=1,-0.1741107595867213,0.00027494734377286943,0.001240508645177437
Q8NBI5,SLC43A3,Solute carrier family 43 member 3 OS=Homo sapiens OX=9606 GN=SLC43A3 PE=1 SV=2,-0.18174853972958377,0.00027504320535845777,0.001240508645177437
P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 OS=Homo sapiens OX=9606 GN=PLCG2 PE=1 SV=4",0.26546039383643016,0.0002762722439369372,0.001244311913499597
Q9H0R6,QRSL1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens OX=9606 GN=QRSL1 PE=1 SV=2",-0.14750372299054493,0.0002763921589871893,0.001244311913499597
Q5VZK9,CARMIL1,F-actin-uncapping protein LRRC16A OS=Homo sapiens OX=9606 GN=CARMIL1 PE=1 SV=1,-0.2567283487861658,0.00027667019648200777,0.001244311913499597
Q6EEV6,SUMO4,Small ubiquitin-related modifier 4 OS=Homo sapiens OX=9606 GN=SUMO4 PE=1 SV=2,0.24654325215245487,0.00027682568964478417,0.001244311913499597
Q8NE86,MCU,"Calcium uniporter protein, mitochondrial OS=Homo sapiens OX=9606 GN=MCU PE=1 SV=1",0.1081490633773049,0.0002768274084630834,0.001244311913499597
Q9BXP2,SLC12A9,Solute carrier family 12 member 9 OS=Homo sapiens OX=9606 GN=SLC12A9 PE=1 SV=1,0.3130806779585438,0.0002773892415539518,0.0012459902616540283
Q96K17,BTF3L4,Transcription factor BTF3 homolog 4 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1,0.18636259097477004,0.0002781883799352905,0.0012484394334515904
P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog OS=Homo sapiens OX=9606 GN=VPS41 PE=1 SV=3,0.151533310052977,0.00027836237096144493,0.0012484394334515904
Q9UGI8,TES,Testin OS=Homo sapiens OX=9606 GN=TES PE=1 SV=1,0.12921518493780426,0.00027861618711471774,0.0012484394334515904
Q9UNS1,TIMELESS,Protein timeless homolog OS=Homo sapiens OX=9606 GN=TIMELESS PE=1 SV=2,-0.40793831394554814,0.0002786897464873786,0.0012484394334515904
P00846,MT-ATP6,ATP synthase subunit a OS=Homo sapiens OX=9606 GN=MT-ATP6 PE=1 SV=1,0.2919598599020079,0.0002796663186488951,0.0012519659437417025
O75340,PDCD6,Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1,0.2192189324261816,0.00028258405275987595,0.0012641716893425573
P19784,CSNK2A2,Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1,-0.07510357328135964,0.00028421160048813944,0.001270593037476388
Q9NPJ3,ACOT13,Acyl-coenzyme A thioesterase 13 OS=Homo sapiens OX=9606 GN=ACOT13 PE=1 SV=1,0.2784818546661094,0.0002853764237545012,0.0012749384553140284
Q9NV31,IMP3,U3 small nucleolar ribonucleoprotein protein IMP3 OS=Homo sapiens OX=9606 GN=IMP3 PE=1 SV=1,-0.2234475586929946,0.0002856121175410029,0.0012751298590014256
P79522,PRR3,Proline-rich protein 3 OS=Homo sapiens OX=9606 GN=PRR3 PE=1 SV=2,-0.22632451837396572,0.00028696610448609457,0.0012803103123225758
P15153,RAC2,Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1,0.41079931074549325,0.00028739998056455396,0.0012809536061328271
Q8IYD8,FANCM,Fanconi anemia group M protein OS=Homo sapiens OX=9606 GN=FANCM PE=1 SV=2,-0.33601407063702826,0.0002874977543105135,0.0012809536061328271
Q16134,ETFDH,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=ETFDH PE=1 SV=2",0.18764534446905212,0.00028778063157746607,0.0012813505292863336
Q92918,MAP4K1,Mitogen-activated protein kinase kinase kinase kinase 1 OS=Homo sapiens OX=9606 GN=MAP4K1 PE=1 SV=1,0.1720765563311648,0.0002882448373216809,0.001282553744529579
Q9UIQ6,LNPEP,Leucyl-cystinyl aminopeptidase OS=Homo sapiens OX=9606 GN=LNPEP PE=1 SV=3,0.29157068456240953,0.00028945873829044124,0.0012864692389044456
Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Homo sapiens OX=9606 GN=BLOC1S2 PE=1 SV=1,0.15415619174953338,0.000289513948501182,0.0012864692389044456
P56378,ATP5MPL,"ATP synthase subunit ATP5MPL, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MPL PE=1 SV=1",-0.21549129651039292,0.0002898298109355685,0.0012870078642753385
O43847,NRDC,Nardilysin OS=Homo sapiens OX=9606 GN=NRDC PE=1 SV=3,-0.287533745187722,0.0002900318354480604,0.0012870406013305875
A6NGH8,ANKRD61,Ankyrin repeat domain-containing protein 61 OS=Homo sapiens OX=9606 GN=ANKRD61 PE=4 SV=2,-0.2428674345782098,0.00029030960237511077,0.0012871611324503753
P11912,CD79A,B-cell antigen receptor complex-associated protein alpha chain OS=Homo sapiens OX=9606 GN=CD79A PE=1 SV=2,0.3883398515463474,0.00029044833781245613,0.0012871611324503753
Q92576,PHF3,PHD finger protein 3 OS=Homo sapiens OX=9606 GN=PHF3 PE=1 SV=3,0.08239358260645324,0.00029105504372205107,0.001288985900261354
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2,-0.25752170306745503,0.0002915237674945821,0.0012901975573455
Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,0.02280639248741423,0.0002918599787640654,0.001290821524808027
P62847,RPS24,40S ribosomal protein S24 OS=Homo sapiens OX=9606 GN=RPS24 PE=1 SV=1,-0.14762511773662013,0.000292317260016945,0.0012919797615187434
Q9NVP2,ASF1B,Histone chaperone ASF1B OS=Homo sapiens OX=9606 GN=ASF1B PE=1 SV=1,-0.1764363577121867,0.0002936913868686719,0.0012971860053277613
Q14573,ITPR3,"Inositol 1,4,5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2",0.19165455736737896,0.0002941592585738173,0.0012981317784587093
P11172,UMPS,Uridine 5'-monophosphate synthase OS=Homo sapiens OX=9606 GN=UMPS PE=1 SV=1,-0.08960240910955442,0.00029431789864124355,0.0012981317784587093
Q15056,EIF4H,Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,-0.12420371086307425,0.00029456743373765975,0.0012981317784587093
Q92609,TBC1D5,TBC1 domain family member 5 OS=Homo sapiens OX=9606 GN=TBC1D5 PE=1 SV=1,0.16068341691278576,0.0002946908347650518,0.0012981317784587093
Q16512,PKN1,Serine/threonine-protein kinase N1 OS=Homo sapiens OX=9606 GN=PKN1 PE=1 SV=2,0.10098322363637191,0.00029495234815801925,0.0012984187257129316
Q9NXH9,TRMT1,tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens OX=9606 GN=TRMT1 PE=1 SV=1,-0.12979792784364097,0.00029568806247824155,0.0013007913966108671
O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,0.11862222940821132,0.0002963629304619271,0.0013028934150360785
Q14CX7,NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA25 PE=1 SV=1",-0.14547356133830025,0.000297735462003438,0.0013080577240974962
Q17RS7,GEN1,Flap endonuclease GEN homolog 1 OS=Homo sapiens OX=9606 GN=GEN1 PE=1 SV=2,-0.39452675826397576,0.00029869940448461316,0.001311078456388131
Q7Z5R6,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein OS=Homo sapiens OX=9606 GN=APBB1IP PE=1 SV=1,-0.15852986798348545,0.00029881960583437895,0.001311078456388131
O60888,CUTA,Protein CutA OS=Homo sapiens OX=9606 GN=CUTA PE=1 SV=2,0.14065848431478636,0.00029949471146564256,0.001312591544666946
O15357,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Homo sapiens OX=9606 GN=INPPL1 PE=1 SV=2",0.1304114320298293,0.00029956150043896273,0.001312591544666946
Q92973,TNPO1,Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2,-0.07023734905713397,0.00030027014718807927,0.0013148253067599867
Q08211,DHX9,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,-0.10189993918962781,0.00030059346531233715,0.0013153699488055416
Q01831,XPC,DNA repair protein complementing XP-C cells OS=Homo sapiens OX=9606 GN=XPC PE=1 SV=4,0.21952986713446432,0.00030128430207803015,0.001317521035277735
Q9Y6R4,MAP3K4,Mitogen-activated protein kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP3K4 PE=1 SV=2,-0.12955666284794543,0.0003018985532405204,0.0013193345895745675
Q9Y291,MRPS33,"28S ribosomal protein S33, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS33 PE=1 SV=1",0.15792158269148504,0.0003043577005185173,0.0013292028506132342
O94832,MYO1D,Unconventional myosin-Id OS=Homo sapiens OX=9606 GN=MYO1D PE=1 SV=2,0.44091745715044817,0.00030460812896655585,0.001329418448004533
Q9Y2Z2,MTO1,"Protein MTO1 homolog, mitochondrial OS=Homo sapiens OX=9606 GN=MTO1 PE=1 SV=2",-0.10793011044270351,0.0003051823650710385,0.0013310460407979594
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1",0.22278379785565816,0.0003059161068583721,0.0013329970735093898
Q9Y2Q0,ATP8A1,Phospholipid-transporting ATPase IA OS=Homo sapiens OX=9606 GN=ATP8A1 PE=1 SV=1,0.17397149790250344,0.00030603290344634814,0.0013329970735093898
O94874,UFL1,E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2,0.09433922911833204,0.0003070189256203092,0.0013355559718916982
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PSMD10 PE=1 SV=1,0.14108363319751882,0.0003070243613544134,0.0013355559718916982
P36578,RPL4,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,-0.17058881109249224,0.0003076120869660395,0.001337232819868148
Q9NNW7,TXNRD2,"Thioredoxin reductase 2, mitochondrial OS=Homo sapiens OX=9606 GN=TXNRD2 PE=1 SV=3",0.19375639932559913,0.00030861819919711885,0.0013407250545935281
Q8NBL1,POGLUT1,Protein O-glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=POGLUT1 PE=1 SV=1,0.28983322999309413,0.0003095173532699801,0.0013428239198515447
O75150,RNF40,E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens OX=9606 GN=RNF40 PE=1 SV=5,-0.10945760270174354,0.00030963598870120207,0.0013428239198515447
Q15555,MAPRE2,Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens OX=9606 GN=MAPRE2 PE=1 SV=1,-0.1428928002264338,0.0003097105985743505,0.0013428239198515447
P68104,EEF1A1,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,-0.17573201234214064,0.0003102520143096904,0.0013432247218563317
Q8N2F6,ARMC10,Armadillo repeat-containing protein 10 OS=Homo sapiens OX=9606 GN=ARMC10 PE=1 SV=1,0.243087664206608,0.000310330210489783,0.0013432247218563317
Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4,-0.21311583324079714,0.00031041248865645415,0.0013432247218563317
O95373,IPO7,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,-0.18006169299771546,0.000311443826518648,0.0013460970502457634
P32019,INPP5B,"Type II inositol 1,4,5-trisphosphate 5-phosphatase OS=Homo sapiens OX=9606 GN=INPP5B PE=1 SV=4",0.13331409912713865,0.00031148343721657863,0.0013460970502457634
Q15651,HMGN3,High mobility group nucleosome-binding domain-containing protein 3 OS=Homo sapiens OX=9606 GN=HMGN3 PE=1 SV=2,0.37515700403529273,0.00031213672769776806,0.0013480392185092375
Q8NCA5,FAM98A,Protein FAM98A OS=Homo sapiens OX=9606 GN=FAM98A PE=1 SV=2,-0.10972950043388252,0.00031236840263100513,0.001348159189423111
Q8IYS1,PM20D2,Peptidase M20 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PM20D2 PE=1 SV=2,0.15208565833627308,0.0003128899396626842,0.0013495292113826927
Q9BRT3,MIEN1,Migration and invasion enhancer 1 OS=Homo sapiens OX=9606 GN=MIEN1 PE=1 SV=1,0.23469695506345456,0.0003135160166524843,0.0013513480457015817
P04004,VTN,Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,0.6719611927805831,0.00031486010275664724,0.0013562573286169065
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,-0.09151524995989924,0.00031546422292917073,0.0013579748971404148
Q9NZR1,TMOD2,Tropomodulin-2 OS=Homo sapiens OX=9606 GN=TMOD2 PE=1 SV=1,0.7622447183662386,0.0003159137645131186,0.0013590252511130384
P17275,JUNB,Transcription factor jun-B OS=Homo sapiens OX=9606 GN=JUNB PE=1 SV=1,-0.31787958900006297,0.00031636280514542705,0.001359993410911178
P49411,TUFM,"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",0.10069694089819281,0.0003165501904707052,0.001359993410911178
Q9BRS2,RIOK1,Serine/threonine-protein kinase RIO1 OS=Homo sapiens OX=9606 GN=RIOK1 PE=1 SV=2,-0.30933258241674844,0.000316922560400978,0.0013607090710203028
Q96EE3,SEH1L,Nucleoporin SEH1 OS=Homo sapiens OX=9606 GN=SEH1L PE=1 SV=3,-0.11899112003736612,0.00031797300093541574,0.0013643332136177603
