accession,symbol,description,log2FC,pval,padj
Q03164,KMT2A,Histone-lysine N-methyltransferase 2A OS=Homo sapiens OX=9606 GN=KMT2A PE=1 SV=5,-0.02285765801467962,0.5217843962030941,0.5918748374841069
Q9H2T7,RANBP17,Ran-binding protein 17 OS=Homo sapiens OX=9606 GN=RANBP17 PE=2 SV=1,-0.03388686763134885,0.5219625844319823,0.5919754045050201
Q9ULX6,AKAP8L,A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4,-0.01982510819439698,0.5224211180720144,0.5923938317084821
Q69YN4,VIRMA,Protein virilizer homolog OS=Homo sapiens OX=9606 GN=VIRMA PE=1 SV=2,-0.023491065676301326,0.5225261586821207,0.5924113445140916
Q08117,TLE5,TLE family member 5 OS=Homo sapiens OX=9606 GN=TLE5 PE=1 SV=4,0.05308155599768111,0.5240491886071882,0.5940362137957703
Q99996,AKAP9,A-kinase anchor protein 9 OS=Homo sapiens OX=9606 GN=AKAP9 PE=1 SV=4,0.02256514518484598,0.5250641252286983,0.5950846753534715
Q96AD5,PNPLA2,Patatin-like phospholipase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PNPLA2 PE=1 SV=1,-0.018760446869529712,0.5255717826500872,0.5955579480518212
P01116,KRAS,GTPase KRas OS=Homo sapiens OX=9606 GN=KRAS PE=1 SV=1,-0.06965813897451456,0.5259827237567234,0.5959214820903795
P83916,CBX1,Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1,-0.010212265954433253,0.5263620808686912,0.5962491140489611
Q9BQC3,DPH2,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Homo sapiens OX=9606 GN=DPH2 PE=1 SV=1,-0.017095936437150905,0.5265304870340732,0.5963377150170079
P51398,DAP3,"28S ribosomal protein S29, mitochondrial OS=Homo sapiens OX=9606 GN=DAP3 PE=1 SV=1",-0.009585489848859652,0.5269349648419916,0.5966936097851085
Q9UJ83,HACL1,2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens OX=9606 GN=HACL1 PE=1 SV=2,-0.051122038408233816,0.5273453320791408,0.5969948936486172
P27824,CANX,Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,-0.010152044548809691,0.5273816052331478,0.5969948936486172
Q9GZV4,EIF5A2,Eukaryotic translation initiation factor 5A-2 OS=Homo sapiens OX=9606 GN=EIF5A2 PE=1 SV=3,-0.01703252746173356,0.5279500863960094,0.5975361128466987
Q14376,GALE,UDP-glucose 4-epimerase OS=Homo sapiens OX=9606 GN=GALE PE=1 SV=2,0.024529452724525003,0.5283143837427633,0.5978460902459611
Q15735,INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A OS=Homo sapiens OX=9606 GN=INPP5J PE=1 SV=3",-0.08299636595889837,0.5289763270082904,0.5984927231654374
Q53GS7,GLE1,Nucleoporin GLE1 OS=Homo sapiens OX=9606 GN=GLE1 PE=1 SV=2,-0.043547211678238495,0.5295652936945026,0.5990565820201968
