gene_id,log2FC,pval,padj,symbol
ENSMUSG00000040734,-0.25921865850432857,0.0016803013208435997,0.17511140193648655,Ppp1r13l
ENSMUSG00000022663,0.1321597330516906,0.0017246474330013884,0.17657969156133513,Atg3
ENSMUSG00000001419,-0.3291585301385969,0.0017179510341744854,0.17657969156133513,Mef2d
ENSMUSG00000025575,-0.150969933874466,0.0017432934892102877,0.17693670961793456,Cant1
ENSMUSG00000071866,0.16310723937099525,0.0017967071906114416,0.17924073785313457,Ppia
ENSMUSG00000039382,-0.15832630538578374,0.001789304703094404,0.17924073785313457,Wdr45
ENSMUSG00000078584,-0.23537041273715215,0.0018591128833122929,0.18389462350865324,AU022252
ENSMUSG00000050856,0.3582121568554075,0.0018898081221139231,0.18536000337238412,Atp5me
ENSMUSG00000021807,0.15545961412170684,0.0019216394147737166,0.18536673759701502,Rtraf
ENSMUSG00000021275,-0.343567686522417,0.0019176080962280662,0.18536673759701502,Tecpr2
ENSMUSG00000003308,-0.10056720740702274,0.0019615616450515626,0.18766678295935935,Keap1
ENSMUSG00000016427,0.29048276523034755,0.002047081491953232,0.18813807223683562,Ndufa1
ENSMUSG00000032842,-0.3282157925228152,0.0020462613012261557,0.18813807223683562,Abcc10
ENSMUSG00000027582,-0.2051515779798861,0.002020241884609577,0.18813807223683562,Zgpat
ENSMUSG00000026933,-0.23963467370763053,0.002000139176959285,0.18813807223683562,Camsap1
ENSMUSG00000013858,-0.14722787264434556,0.002014778928271716,0.18813807223683562,Tmem259
ENSMUSG00000028890,-0.26859103753536034,0.002119240077922228,0.188822673202353,Mtf1
ENSMUSG00000024170,-0.2563105265122968,0.0020975316208641562,0.188822673202353,Telo2
ENSMUSG00000028081,0.3463333346584164,0.002104913203414872,0.188822673202353,Rps3a1
ENSMUSG00000010936,-0.12531040559180168,0.002091545714287615,0.188822673202353,Vac14
ENSMUSG00000040413,0.2237740553012036,0.002171667688274742,0.19202807013289988,Timd2
ENSMUSG00000060279,-0.1734974940370883,0.002319238587405387,0.1947143417487573,Ap2a1
ENSMUSG00000021290,0.2959693522353195,0.002307160810098109,0.1947143417487573,Atp5mj
ENSMUSG00000050174,-0.22291631674196152,0.0023793735339808766,0.1947143417487573,Nudt6
ENSMUSG00000033577,-0.2529993753036003,0.0023791361541055534,0.1947143417487573,Myo6
ENSMUSG00000038522,-0.19442953323846812,0.0022363415566002283,0.1947143417487573,Mfsd4b1
ENSMUSG00000038611,-0.23240710017774635,0.0023855509655647954,0.1947143417487573,Phrf1
ENSMUSG00000095385,0.30497954561399504,0.0023465660494580314,0.1947143417487573,D630033O11Rik
ENSMUSG00000061589,-0.3435010955422349,0.002258192776704346,0.1947143417487573,Dot1l
ENSMUSG00000095567,-0.19282979778357873,0.0023457475675196975,0.1947143417487573,Noc2l
ENSMUSG00000034902,-0.26804690282591476,0.0022670607692038503,0.1947143417487573,Pip5k1c
ENSMUSG00000017721,-0.1709967165486913,0.002320306149707798,0.1947143417487573,Pigt
ENSMUSG00000017837,-0.2187180862333819,0.0026374591553943024,0.20061360518060628,Nkiras2
ENSMUSG00000071074,-0.12692389694906958,0.0026344436144487425,0.20061360518060628,Yipf3
ENSMUSG00000070047,-0.31430890580606097,0.002594147415113861,0.20061360518060628,Fat1
ENSMUSG00000037326,-0.2822001190571531,0.0025660284953889145,0.20061360518060628,Capn15
ENSMUSG00000054792,-0.24019070921611563,0.0026149863883182366,0.20061360518060628,Klhl18
ENSMUSG00000026317,-0.3710708888026296,0.002520532335962617,0.20061360518060628,Cln8
ENSMUSG00000017478,-0.1595996146802457,0.002475902973564449,0.20061360518060628,Zc3h18
ENSMUSG00000020235,-0.16942955815306243,0.0026468895817180747,0.20061360518060628,Fzr1
ENSMUSG00000027884,-0.18135288779594833,0.0025390058025231174,0.20061360518060628,Clcc1
ENSMUSG00000036352,-0.22361930623984094,0.002561058867872048,0.20061360518060628,Ubac1
ENSMUSG00000054874,-0.1969341881290858,0.0026233186996298566,0.20061360518060628,Pcnx3
ENSMUSG00000057177,-0.13731452311918468,0.002664586749018671,0.2006519776422318,Gsk3a
ENSMUSG00000007029,-0.15295899234488108,0.002689078771690092,0.2011982527126074,Vars1
ENSMUSG00000050144,-0.19999688796547044,0.0027220957702452273,0.20237134923759423,Slc25a44
ENSMUSG00000010205,-0.1707200242519044,0.0027919014853888527,0.20624730466746005,Raver1
ENSMUSG00000031286,0.3966733680506655,0.0028465418883557455,0.20765523075555165,Glt28d2
ENSMUSG00000039715,-0.19660900046503943,0.0028393123239350174,0.20765523075555165,Dync2i2
ENSMUSG00000008435,-0.2724285206294286,0.0029215374218971354,0.20938888604890724,Rdh13
ENSMUSG00000044496,-0.12440797944319892,0.002924125122170312,0.20938888604890724,2510039O18Rik
